,,Non-donation,Donation,Statistics
Financial Assets - Savings,1000.0,1033 (92.48%),84 (7.52%),
Financial Assets - Savings,1001.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1006.0,3 (60.00%),2 (40.00%),
Financial Assets - Savings,1008.0,137 (93.20%),10 (6.80%),
Financial Assets - Savings,1010.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1012.0,16 (88.89%),2 (11.11%),
Financial Assets - Savings,1018.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1020.0,208 (90.04%),23 (9.96%),
Financial Assets - Savings,1022.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1024.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1026.0,29 (96.67%),1 (3.33%),
Financial Assets - Savings,1030.0,32 (91.43%),3 (8.57%),
Financial Assets - Savings,1031.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1032.0,45 (88.24%),6 (11.76%),
Financial Assets - Savings,1037.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1040.0,75 (93.75%),5 (6.25%),
Financial Assets - Savings,1044.0,62 (93.94%),4 (6.06%),
Financial Assets - Savings,1045.0,14 (87.50%),2 (12.50%),
Financial Assets - Savings,1050.0,175 (91.15%),17 (8.85%),
Financial Assets - Savings,1051.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1056.0,120 (98.36%),2 (1.64%),
Financial Assets - Savings,1060.0,62 (92.54%),5 (7.46%),
Financial Assets - Savings,1062.0,24 (92.31%),2 (7.69%),
Financial Assets - Savings,1064.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1065.0,14 (87.50%),2 (12.50%),
Financial Assets - Savings,1066.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1068.0,58 (93.55%),4 (6.45%),
Financial Assets - Savings,1070.0,33 (84.62%),6 (15.38%),
Financial Assets - Savings,1072.0,9 (75.00%),3 (25.00%),
Financial Assets - Savings,1074.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1080.0,982 (94.51%),57 (5.49%),
Financial Assets - Savings,1081.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1083.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1084.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1085.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1086.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,1088.0,8 (61.54%),5 (38.46%),
Financial Assets - Savings,1090.0,27 (93.10%),2 (6.90%),
Financial Assets - Savings,1091.0,2 (50.00%),2 (50.00%),
Financial Assets - Savings,1092.0,47 (88.68%),6 (11.32%),
Financial Assets - Savings,1095.0,23 (95.83%),1 (4.17%),
Financial Assets - Savings,1100.0,133 (90.48%),14 (9.52%),
Financial Assets - Savings,1103.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1104.0,73 (97.33%),2 (2.67%),
Financial Assets - Savings,1110.0,32 (86.49%),5 (13.51%),
Financial Assets - Savings,1111.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,1112.0,23 (95.83%),1 (4.17%),
Financial Assets - Savings,1115.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1116.0,30 (90.91%),3 (9.09%),
Financial Assets - Savings,1117.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1118.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,1120.0,75 (97.40%),2 (2.60%),
Financial Assets - Savings,1128.0,69 (93.24%),5 (6.76%),
Financial Assets - Savings,1129.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1130.0,32 (91.43%),3 (8.57%),
Financial Assets - Savings,1132.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1134.0,25 (96.15%),1 (3.85%),
Financial Assets - Savings,1139.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1140.0,140 (95.24%),7 (4.76%),
Financial Assets - Savings,1141.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,1142.0,3 (50.00%),3 (50.00%),
Financial Assets - Savings,1144.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,1146.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1148.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1150.0,56 (91.80%),5 (8.20%),
Financial Assets - Savings,1152.0,181 (93.78%),12 (6.22%),
Financial Assets - Savings,1155.0,20 (80.00%),5 (20.00%),
Financial Assets - Savings,1160.0,62 (91.18%),6 (8.82%),
Financial Assets - Savings,1161.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1162.0,19 (90.48%),2 (9.52%),
Financial Assets - Savings,1164.0,31 (91.18%),3 (8.82%),
Financial Assets - Savings,1166.0,5 (71.43%),2 (28.57%),
Financial Assets - Savings,1167.0,1 (25.00%),3 (75.00%),
Financial Assets - Savings,1168.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1170.0,104 (92.04%),9 (7.96%),
Financial Assets - Savings,1172.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,1173.0,8 (72.73%),3 (27.27%),
Financial Assets - Savings,1174.0,7 (77.78%),2 (22.22%),
Financial Assets - Savings,1175.0,10 (71.43%),4 (28.57%),
Financial Assets - Savings,1176.0,55 (93.22%),4 (6.78%),
Financial Assets - Savings,1180.0,60 (89.55%),7 (10.45%),
Financial Assets - Savings,1182.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,1184.0,1 (33.33%),2 (66.67%),
Financial Assets - Savings,1186.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1188.0,77 (92.77%),6 (7.23%),
Financial Assets - Savings,1190.0,13 (86.67%),2 (13.33%),
Financial Assets - Savings,1191.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1192.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,1195.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1200.0,2589 (93.50%),180 (6.50%),
Financial Assets - Savings,1206.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1209.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1210.0,43 (89.58%),5 (10.42%),
Financial Assets - Savings,1212.0,19 (79.17%),5 (20.83%),
Financial Assets - Savings,1214.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1219.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1220.0,54 (91.53%),5 (8.47%),
Financial Assets - Savings,1224.0,106 (93.81%),7 (6.19%),
Financial Assets - Savings,1229.0,2 (33.33%),4 (66.67%),
Financial Assets - Savings,1230.0,45 (95.74%),2 (4.26%),
Financial Assets - Savings,1234.0,16 (88.89%),2 (11.11%),
Financial Assets - Savings,1235.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,1236.0,22 (95.65%),1 (4.35%),
Financial Assets - Savings,1237.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1238.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1240.0,95 (94.06%),6 (5.94%),
Financial Assets - Savings,1242.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1244.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1248.0,120 (88.89%),15 (11.11%),
Financial Assets - Savings,1250.0,61 (89.71%),7 (10.29%),
Financial Assets - Savings,1252.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1256.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,1260.0,430 (92.67%),34 (7.33%),
Financial Assets - Savings,1263.0,1 (33.33%),2 (66.67%),
Financial Assets - Savings,1264.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,1270.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,1272.0,46 (90.20%),5 (9.80%),
Financial Assets - Savings,1275.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,1276.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1280.0,108 (89.26%),13 (10.74%),
Financial Assets - Savings,1282.0,21 (91.30%),2 (8.70%),
Financial Assets - Savings,1284.0,42 (95.45%),2 (4.55%),
Financial Assets - Savings,1290.0,61 (92.42%),5 (7.58%),
Financial Assets - Savings,1296.0,143 (95.33%),7 (4.67%),
Financial Assets - Savings,1300.0,231 (96.25%),9 (3.75%),
Financial Assets - Savings,1301.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1304.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1306.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,1308.0,26 (92.86%),2 (7.14%),
Financial Assets - Savings,1310.0,30 (90.91%),3 (9.09%),
Financial Assets - Savings,1312.0,16 (80.00%),4 (20.00%),
Financial Assets - Savings,1315.0,5 (71.43%),2 (28.57%),
Financial Assets - Savings,1316.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,1318.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1320.0,509 (92.04%),44 (7.96%),
Financial Assets - Savings,1323.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,1325.0,16 (84.21%),3 (15.79%),
Financial Assets - Savings,1330.0,22 (91.67%),2 (8.33%),
Financial Assets - Savings,1332.0,45 (93.75%),3 (6.25%),
Financial Assets - Savings,1334.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,1335.0,10 (71.43%),4 (28.57%),
Financial Assets - Savings,1338.0,21 (95.45%),1 (4.55%),
Financial Assets - Savings,1340.0,47 (92.16%),4 (7.84%),
Financial Assets - Savings,1342.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,1344.0,120 (96.00%),5 (4.00%),
Financial Assets - Savings,1347.0,7 (77.78%),2 (22.22%),
Financial Assets - Savings,1350.0,93 (87.74%),13 (12.26%),
Financial Assets - Savings,1354.0,11 (84.62%),2 (15.38%),
Financial Assets - Savings,1356.0,35 (89.74%),4 (10.26%),
Financial Assets - Savings,1359.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1360.0,77 (90.59%),8 (9.41%),
Financial Assets - Savings,1361.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1362.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1365.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1368.0,81 (95.29%),4 (4.71%),
Financial Assets - Savings,1370.0,23 (92.00%),2 (8.00%),
Financial Assets - Savings,1372.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,1373.0,2 (50.00%),2 (50.00%),
Financial Assets - Savings,1374.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1376.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1380.0,235 (92.52%),19 (7.48%),
Financial Assets - Savings,1390.0,22 (88.00%),3 (12.00%),
Financial Assets - Savings,1392.0,105 (94.59%),6 (5.41%),
Financial Assets - Savings,1394.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1396.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,1398.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1400.0,227 (94.58%),13 (5.42%),
Financial Assets - Savings,1404.0,70 (90.91%),7 (9.09%),
Financial Assets - Savings,1410.0,38 (97.44%),1 (2.56%),
Financial Assets - Savings,1411.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,1415.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1416.0,68 (90.67%),7 (9.33%),
Financial Assets - Savings,1419.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1420.0,58 (89.23%),7 (10.77%),
Financial Assets - Savings,1422.0,19 (90.48%),2 (9.52%),
Financial Assets - Savings,1428.0,80 (91.95%),7 (8.05%),
Financial Assets - Savings,1430.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1434.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1440.0,1123 (91.23%),108 (8.77%),
Financial Assets - Savings,1441.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1442.0,19 (90.48%),2 (9.52%),
Financial Assets - Savings,1443.0,7 (63.64%),4 (36.36%),
Financial Assets - Savings,1444.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1445.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,1446.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,1448.0,11 (78.57%),3 (21.43%),
Financial Assets - Savings,1449.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,1450.0,44 (93.62%),3 (6.38%),
Financial Assets - Savings,1451.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1452.0,32 (94.12%),2 (5.88%),
Financial Assets - Savings,1453.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,1454.0,16 (88.89%),2 (11.11%),
Financial Assets - Savings,1456.0,17 (89.47%),2 (10.53%),
Financial Assets - Savings,1457.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1458.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1460.0,45 (91.84%),4 (8.16%),
Financial Assets - Savings,1464.0,19 (86.36%),3 (13.64%),
Financial Assets - Savings,1470.0,47 (79.66%),12 (20.34%),
Financial Assets - Savings,1472.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1476.0,63 (96.92%),2 (3.08%),
Financial Assets - Savings,1480.0,51 (89.47%),6 (10.53%),
Financial Assets - Savings,1481.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1482.0,25 (96.15%),1 (3.85%),
Financial Assets - Savings,1483.0,8 (80.00%),2 (20.00%),
Financial Assets - Savings,1485.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1486.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1488.0,49 (92.45%),4 (7.55%),
Financial Assets - Savings,1494.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,1495.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1497.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1500.0,702 (91.88%),62 (8.12%),
Financial Assets - Savings,1504.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1510.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,1512.0,100 (93.46%),7 (6.54%),
Financial Assets - Savings,1514.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1516.0,2 (50.00%),2 (50.00%),
Financial Assets - Savings,1518.0,19 (95.00%),1 (5.00%),
Financial Assets - Savings,1520.0,56 (90.32%),6 (9.68%),
Financial Assets - Savings,1525.0,8 (80.00%),2 (20.00%),
Financial Assets - Savings,1527.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1529.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1530.0,61 (92.42%),5 (7.58%),
Financial Assets - Savings,1532.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1536.0,88 (93.62%),6 (6.38%),
Financial Assets - Savings,1537.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1539.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,1540.0,79 (94.05%),5 (5.95%),
Financial Assets - Savings,1543.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1544.0,20 (90.91%),2 (9.09%),
Financial Assets - Savings,1546.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1548.0,55 (94.83%),3 (5.17%),
Financial Assets - Savings,1550.0,41 (93.18%),3 (6.82%),
Financial Assets - Savings,1551.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1554.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,1558.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1560.0,496 (92.71%),39 (7.29%),
Financial Assets - Savings,1568.0,8 (80.00%),2 (20.00%),
Financial Assets - Savings,1570.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1572.0,28 (93.33%),2 (6.67%),
Financial Assets - Savings,1574.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1575.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,1580.0,45 (95.74%),2 (4.26%),
Financial Assets - Savings,1584.0,118 (90.08%),13 (9.92%),
Financial Assets - Savings,1585.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1586.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1590.0,26 (83.87%),5 (16.13%),
Financial Assets - Savings,1592.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1594.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,1596.0,45 (93.75%),3 (6.25%),
Financial Assets - Savings,1600.0,183 (88.83%),23 (11.17%),
Financial Assets - Savings,1602.0,19 (95.00%),1 (5.00%),
Financial Assets - Savings,1604.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1605.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1608.0,40 (95.24%),2 (4.76%),
Financial Assets - Savings,1609.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1610.0,27 (90.00%),3 (10.00%),
Financial Assets - Savings,1612.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,1613.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1616.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,1620.0,228 (94.61%),13 (5.39%),
Financial Assets - Savings,1627.0,4 (50.00%),4 (50.00%),
Financial Assets - Savings,1630.0,32 (88.89%),4 (11.11%),
Financial Assets - Savings,1631.0,2 (50.00%),2 (50.00%),
Financial Assets - Savings,1632.0,87 (91.58%),8 (8.42%),
Financial Assets - Savings,1634.0,9 (69.23%),4 (30.77%),
Financial Assets - Savings,1638.0,21 (95.45%),1 (4.55%),
Financial Assets - Savings,1640.0,64 (95.52%),3 (4.48%),
Financial Assets - Savings,1644.0,32 (96.97%),1 (3.03%),
Financial Assets - Savings,1646.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1649.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1650.0,82 (92.13%),7 (7.87%),
Financial Assets - Savings,1653.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1656.0,100 (92.59%),8 (7.41%),
Financial Assets - Savings,1660.0,23 (95.83%),1 (4.17%),
Financial Assets - Savings,1662.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,1664.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1667.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,1668.0,43 (97.73%),1 (2.27%),
Financial Assets - Savings,1670.0,20 (74.07%),7 (25.93%),
Financial Assets - Savings,1675.0,9 (75.00%),3 (25.00%),
Financial Assets - Savings,1676.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1677.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1680.0,631 (92.93%),48 (7.07%),
Financial Assets - Savings,1682.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1687.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1688.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1690.0,33 (86.84%),5 (13.16%),
Financial Assets - Savings,1691.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1692.0,48 (94.12%),3 (5.88%),
Financial Assets - Savings,1694.0,2 (50.00%),2 (50.00%),
Financial Assets - Savings,1697.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1700.0,132 (94.96%),7 (5.04%),
Financial Assets - Savings,1704.0,63 (91.30%),6 (8.70%),
Financial Assets - Savings,1707.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,1708.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,1710.0,37 (94.87%),2 (5.13%),
Financial Assets - Savings,1715.0,8 (72.73%),3 (27.27%),
Financial Assets - Savings,1716.0,58 (90.62%),6 (9.38%),
Financial Assets - Savings,1720.0,85 (92.39%),7 (7.61%),
Financial Assets - Savings,1724.0,12 (80.00%),3 (20.00%),
Financial Assets - Savings,1726.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,1727.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,1728.0,141 (93.38%),10 (6.62%),
Financial Assets - Savings,1730.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,1732.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,1734.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1740.0,161 (95.83%),7 (4.17%),
Financial Assets - Savings,1744.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1745.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1750.0,53 (98.15%),1 (1.85%),
Financial Assets - Savings,1752.0,65 (94.20%),4 (5.80%),
Financial Assets - Savings,1756.0,12 (70.59%),5 (29.41%),
Financial Assets - Savings,1760.0,38 (86.36%),6 (13.64%),
Financial Assets - Savings,1762.0,1 (33.33%),2 (66.67%),
Financial Assets - Savings,1764.0,36 (87.80%),5 (12.20%),
Financial Assets - Savings,1765.0,2 (50.00%),2 (50.00%),
Financial Assets - Savings,1768.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,1770.0,46 (92.00%),4 (8.00%),
Financial Assets - Savings,1771.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,1775.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1776.0,84 (92.31%),7 (7.69%),
Financial Assets - Savings,1777.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1780.0,44 (91.67%),4 (8.33%),
Financial Assets - Savings,1781.0,7 (77.78%),2 (22.22%),
Financial Assets - Savings,1785.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,1788.0,12 (85.71%),2 (14.29%),
Financial Assets - Savings,1789.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1793.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1794.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,1798.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1800.0,1486 (92.01%),129 (7.99%),
Financial Assets - Savings,1806.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,1810.0,23 (85.19%),4 (14.81%),
Financial Assets - Savings,1812.0,58 (89.23%),7 (10.77%),
Financial Assets - Savings,1815.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,1820.0,49 (94.23%),3 (5.77%),
Financial Assets - Savings,1822.0,2 (40.00%),3 (60.00%),
Financial Assets - Savings,1824.0,98 (95.15%),5 (4.85%),
Financial Assets - Savings,1825.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,1827.0,3 (60.00%),2 (40.00%),
Financial Assets - Savings,1829.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1830.0,28 (80.00%),7 (20.00%),
Financial Assets - Savings,1832.0,8 (72.73%),3 (27.27%),
Financial Assets - Savings,1833.0,16 (84.21%),3 (15.79%),
Financial Assets - Savings,1835.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,1838.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,1839.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,1840.0,55 (83.33%),11 (16.67%),
Financial Assets - Savings,1845.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,1848.0,103 (93.64%),7 (6.36%),
Financial Assets - Savings,1849.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1854.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,1855.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,1856.0,25 (96.15%),1 (3.85%),
Financial Assets - Savings,1859.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,1860.0,107 (84.25%),20 (15.75%),
Financial Assets - Savings,1864.0,6 (85.71%),1 (14.29%),
